num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,
5,1.4497615,Target,,,,,,,,,,,,,,,,10,2.1420647,Target,,,
10,2.1420647,Target,,,,,,,,,,,,,,,,5,1.9339823,Target,,,
5,1.9339823,Target,,,,,,,,,,,,,,,,10,1.4944522,Target,,,
10,1.4944522,Target,,,,,,,,,,,,,,,,5,1.350921,Target,,,
5,1.350921,Target,,,,,,,,,,,,,,,,10,2.0210626,Target,,,
10,2.0210626,Target,,,,,,,,,,,,,,,,10,1.5220204,Target,,,
10,1.5220204,Target,,,,,,,,,,,,,,,,10,1.9618925,Target,,,
10,1.9618925,Target,,,,,,,,,,,,,,,,10,1.9902569,Target,,,
10,1.9902569,Target,,,,,,,,,,,,,,,,10,1.7849471,Target,,,
10,1.7849471,Target,,,,,,,,,,,,,,,,5,1.9799628,Target,,,
5,1.9799628,Target,,,,,,,,,,,,,,,,5,1.8696012,Target,,,
5,1.8696012,Target,,,,,,,,,,,,,,,,10,5.4925168,Target,,,
10,5.4925168,Target,,,,,,,,,,,,,,,,5,1.4354508,Target,,,
5,1.4354508,Target,,,,,,,,,,,,,,,,10,2.2437732,Target,,,
10,2.2437732,Target,,,,,,,,,,,,,,,,5,1.700086,Target,,,
5,1.700086,Target,,,,,,,,,,,,,,,,10,3.6263303,Target,,,
10,3.6263303,Target,,,,,,,,,,,,,,,,10,1.5589925,Target,,,
10,1.5589925,Target,,,,,,,,,,,,,,,,5,1.6658324,Target,,,
5,1.6658324,Target,,,,,,,,,,,,,,,,10,1.9940452,Target,,,
10,1.9940452,Target,,,,,,,,,,,,,,,,5,1.3850366,Target,,,
5,1.3850366,Target,,,,,,,,,,,,,,,,5,2.2993467,Target,,,
5,2.2993467,Target,,,,,,,,,,,,,,,,10,1.7449755,Target,,,
10,1.7449755,Target,,,,,,,,,,,,,,,,10,2.0939048,Target,,,
10,2.0939048,Target,,,,,,,,,,,,,,,,10,1.5606777,Target,,,
10,1.5606777,Target,,,,,,,,,,,,,,,,10,1.766721,Target,,,
10,1.766721,Target,,,,,,,,,,,,,,,,5,1.4685112,Target,,,
5,1.4685112,Target,,,,,,,,,,,,,,,,5,1.8453441,Target,,,
5,1.8453441,Target,,,,,,,,,,,,,,,,5,1.5054162,Target,,,
5,1.5054162,Target,,,,,,,,,,,,,,,,5,1.1503623,Target,,,
5,1.1503623,Target,,,,,,,,,,,,,,,,10,1.5100445,Target,,,
10,1.5100445,Target,,,,,,,,,,,,,,,,10,1.9921005,Target,,,
10,1.9921005,Target,,,,,,,,,,,,,,,,10,2.9875972,Target,,,
10,2.9875972,Target,,,,,,,,,,,,,,,,5,1.5825797,Target,,,
5,1.5825797,Target,,,,,,,,,,,,,,,,5,1.5283437,Target,,,
5,1.5283437,Target,,,,,,,,,,,,,,,,10,0.9268223,Target,,,
10,0.9268223,Target,,,,,,,,,,,,,,,,10,1.406314,Target,,,
10,1.406314,Target,,,,,,,,,,,,,,,,5,1.1372962,Target,,,
5,1.1372962,Target,,,,,,,,,,,,,,,,5,2.2109688,Target,,,
5,2.2109688,Target,,,,,,,,,,,,,,,,10,2.54275,Target,,,
10,2.54275,Target,,,,,,,,,,,,,,,,10,2.1270073,Target,,,
10,2.1270073,Target,,,,,,,,,,,,,,,,5,1.3671153,Target,,,
5,1.3671153,Target,,,,,,,,,,,,,,,,5,2.0467946,Target,,,
5,2.0467946,Target,,,,,,,,,,,,,,,,,,,,,
